timestep,mean_return,std_return,max_return,min_return,algorithm,env_type,seed
5000,84.22474187552423,2.8055742791305707,88.5324982402233,81.09671563497743,PPO,MDP,1
10000,248.53759953181628,2.3672962157971944,252.62801358296502,245.9661641948276,PPO,MDP,1
15000,247.7174146981127,1.8697342936228318,249.86027708140364,244.80787071797383,PPO,MDP,1
20000,247.30305471869943,1.394740168415715,248.8643959194829,245.15771136247034,PPO,MDP,1
25000,249.06468266586472,2.6020180039618945,253.04487276418965,245.7593024266891,PPO,MDP,1
30000,251.7924354620449,2.765282290885386,254.59281311698274,246.48745400630978,PPO,MDP,1
35000,253.39285419746784,3.432204155114064,256.52045525177846,247.2232459388672,PPO,MDP,1
40000,253.25228271090904,2.3770220160434663,256.5480095509209,249.58404179133387,PPO,MDP,1
45000,256.5425974482217,3.237918514444099,260.10877206734557,251.14294999363315,PPO,MDP,1
50000,262.0040219981386,2.263921677666823,265.0233805092844,258.23699965850096,PPO,MDP,1
55000,261.23919112055904,1.863867760127889,264.3645480631847,258.66214655937193,PPO,MDP,1
60000,261.2496808816582,3.9658381634446975,268.15413546954915,257.66099486862987,PPO,MDP,1
65000,261.28323765159405,2.7807294420334294,265.976610647956,257.43376024038554,PPO,MDP,1
70000,256.5609587813302,3.457462743652339,262.74649195283115,253.30402725269556,PPO,MDP,1
75000,256.4794274113568,2.4043591679278413,260.5917661068785,253.91124155370233,PPO,MDP,1
80000,256.84743220332166,4.239964379638805,264.0792594611929,250.94917457011013,PPO,MDP,1
85000,252.4612012819823,2.534502783361073,255.2817348479401,248.58812376078794,PPO,MDP,1
90000,254.57057808995006,3.324180270151621,259.0363456356368,251.51590852304048,PPO,MDP,1
95000,253.64169624684763,2.7141393019813194,256.6577469550029,248.64950405447453,PPO,MDP,1
100000,252.47279331874842,1.3463374070858833,253.55911560938102,249.91679364756357,PPO,MDP,1
105000,257.51949086208674,4.38644886864789,264.71760414543354,252.8457423572515,PPO,MDP,1
110000,258.7734077277291,2.2279048533800574,261.4955470201532,255.7805290438665,PPO,MDP,1
115000,260.440470603044,4.0884790667999305,265.3531108704778,253.95087362339953,PPO,MDP,1
120000,259.4398316531145,4.334020866109864,267.05382671866477,254.4440374746555,PPO,MDP,1
125000,260.7874562951316,2.0800103891406714,263.5568724827407,257.9817428659249,PPO,MDP,1
130000,258.4035871623199,3.0411104574648054,263.3938416535677,255.82065664511074,PPO,MDP,1
135000,259.3878162447771,2.095250769067873,262.2024138005796,256.27811350970165,PPO,MDP,1
140000,256.73151431640673,2.7264295583245124,260.25895804183074,252.32369345465446,PPO,MDP,1
